;Name;Acceleration;Aggression;Agility;Balance;Ball control;Composure;Crossing;Curve;Dribbling;Finishing;Free kick accuracy;GK diving;GK handling;GK kicking;GK positioning;GK reflexes;Heading accuracy;Interceptions;Jumping;Long passing;Long shots;Marking;Penalties;Positioning;Reactions;Short passing;Shot power;Sliding tackle;Sprint speed;Stamina;Standing tackle;Strength;Vision;Volleys;Role;Preferred
4591;V. Cabrera;70;82;65;59;66;59;34;34;62;34;30;15;14;15;10;7;60;73;59;68;46;71;44;26;64;65;40;68;71;62;73;70;48;31;OB;CB
4592;J. Silva;44;54;51;50;48;51;28;29;29;29;33;8;6;15;8;7;75;72;70;43;28;73;45;26;62;52;47;71;66;78;74;81;32;30;OB;RB
4593;S. Grytebust;42;31;48;43;23;39;11;12;11;12;12;70;67;67;68;76;13;16;55;24;12;11;23;10;67;13;17;13;40;21;14;58;60;13;OB;GK
4594;S. Celozzi;75;66;80;84;69;67;71;65;66;46;63;14;9;7;6;12;44;68;66;65;23;70;42;57;70;67;56;71;75;72;71;61;56;41;OB;CM
4595;A. Wisdom;72;74;60;64;66;69;52;34;55;24;26;7;15;8;11;12;72;71;76;66;28;75;43;59;68;68;34;73;74;69;76;79;49;32;OB;CB
4596;Y. Asad;74;81;85;68;70;65;64;69;72;62;59;6;12;15;8;7;52;59;84;66;69;59;58;69;74;70;71;59;73;85;65;54;70;63;ZA;RM
4597;Melero;62;55;58;67;74;61;55;68;67;67;67;13;7;9;16;12;68;72;62;73;70;64;58;67;66;73;71;70;64;71;71;68;68;52;OB;CA
4598;W. Sobota;87;57;90;84;70;65;65;54;72;61;52;16;8;13;9;10;58;46;61;57;58;32;63;65;67;64;72;52;90;77;25;38;64;62;ZA;RM
4599;I. Latovlevici;75;77;69;75;65;72;72;67;66;57;67;16;14;15;7;11;63;72;65;66;64;67;64;64;69;71;72;68;69;76;72;69;68;67;ZA;LM
4600;Y. Makarenko;71;66;68;57;69;64;72;61;67;47;56;14;14;10;14;14;55;68;57;67;67;69;48;62;72;70;69;71;76;72;70;67;67;51;OB;LB
4601;M. Dabo;77;78;78;84;68;66;61;53;65;39;47;14;16;7;11;12;63;72;74;63;59;73;54;62;71;67;66;73;72;74;69;59;61;52;OB;RB
4602;A. Reach;78;40;77;72;72;68;70;66;73;63;42;8;11;8;16;6;55;40;77;56;63;53;55;64;62;67;68;55;78;82;50;77;66;40;UT;LW
4603;W. Benítez;45;19;36;40;14;28;12;19;15;14;17;71;69;65;70;74;13;21;57;27;14;19;25;18;67;26;25;17;48;42;20;80;46;13;OB;GK
4604;João Talocha;69;73;64;65;67;63;68;55;65;31;38;8;14;11;15;9;57;78;58;55;35;68;41;54;68;62;51;68;74;80;73;69;37;48;OB;LB
4605;F. Navarro;85;61;79;87;68;50;68;60;66;50;57;13;14;6;16;16;43;69;89;63;67;65;64;65;62;67;68;72;85;81;72;49;56;39;OB;RB
4606;Abraham;70;80;72;72;73;66;72;76;71;41;56;11;8;7;14;11;57;71;68;58;58;66;57;63;64;68;69;72;74;75;68;74;66;36;ZA;LM
4607;C. Gunter;77;67;73;70;65;50;62;61;59;47;23;12;8;16;16;9;61;67;74;62;43;70;47;63;72;65;48;69;76;92;70;65;58;56;UT;RW
4608;M. Abeid;68;75;67;71;74;74;56;68;75;67;65;14;14;8;15;10;44;65;58;73;70;62;62;65;65;75;75;60;65;68;66;75;64;60;OB;CD
4609;C. Alzáte;85;46;86;92;70;67;70;68;68;59;68;11;11;7;7;10;31;22;84;66;65;37;64;66;67;72;66;47;83;84;41;34;69;52;ZA;LM
4610;C. Villagra;80;80;70;72;66;69;70;56;68;49;39;14;10;6;7;10;55;70;60;69;57;69;56;55;71;72;73;73;79;64;71;70;61;43;OB;RB
4611;Kwon Soon Hyung;35;61;80;78;68;64;67;68;65;64;68;8;11;13;10;15;50;65;78;74;76;57;54;71;68;72;74;54;53;69;57;65;73;62;OB;CD
4612;Aday Benítez;73;62;81;69;77;60;70;66;75;55;51;9;15;11;8;16;53;61;41;62;39;60;55;65;71;71;47;64;77;82;62;55;53;43;UT;RW
4613;L. Wílchez;69;56;76;86;72;70;65;65;72;65;75;16;8;9;9;7;39;40;61;68;67;29;59;69;62;73;69;28;73;60;35;63;71;62;ZA;LM
4614;N. Camacho;73;58;76;77;70;64;58;66;71;67;68;10;13;12;14;7;53;44;58;67;76;40;64;68;66;72;78;34;74;59;39;39;70;58;ZA;RM
4615;Rhayner;91;70;84;73;74;69;57;70;78;62;62;8;16;12;7;12;58;41;82;49;61;56;54;67;65;64;68;32;90;80;38;64;64;65;UT;ST
4616;Wiliam Santinho;37;44;21;20;21;55;8;8;9;8;17;61;77;76;70;73;10;28;62;16;7;11;14;23;61;20;21;12;34;31;13;85;63;9;OB;GK
4617;L. Ruíz;62;54;76;57;72;66;54;74;71;71;46;12;9;12;10;14;70;19;64;46;68;12;66;72;70;62;74;15;66;65;16;66;58;68;UT;ST
4618;K. Lafferty;66;80;63;68;67;68;55;54;66;68;72;11;6;8;11;15;75;14;78;42;64;33;71;67;73;65;74;35;66;69;31;79;64;73;ZA;LM
4619;André Leão;49;75;51;60;66;69;54;56;58;53;52;8;16;6;9;10;61;73;71;64;59;65;50;47;66;71;64;66;54;71;75;75;65;51;OB;CM
4620;J. Guerrón;83;78;77;65;74;70;67;65;75;66;55;13;13;12;14;6;60;34;75;60;55;51;61;65;69;68;79;42;85;74;43;81;60;70;UT;ST
4621;D. da Costa;76;67;69;61;72;49;76;64;72;39;49;15;15;12;6;6;66;60;82;67;44;67;40;63;64;68;57;73;78;77;70;80;58;48;OB;RB
4622;L. Jans;77;69;73;67;67;66;71;65;69;39;57;11;8;11;15;12;61;68;73;64;56;69;49;62;68;67;65;71;75;80;70;65;64;37;OB;RB
4623;H. Hateboer;67;72;64;64;69;61;71;30;57;26;30;11;6;8;14;15;68;62;74;63;50;69;47;41;59;68;70;72;75;85;74;74;29;35;OB;RB
4624;P. Seguin;66;71;66;65;70;65;54;41;65;46;43;14;11;6;15;8;66;69;66;70;51;70;45;53;72;73;62;69;63;68;72;75;60;48;OB;RB
4625;Z. Yıldırım;69;75;72;55;69;67;43;62;66;54;60;9;6;7;11;9;69;75;70;61;66;72;48;62;60;68;68;70;71;79;74;75;63;42;OB;CD
4626;M. Yüce;37;67;48;40;74;56;56;35;64;40;44;10;12;6;10;15;69;72;38;64;57;69;30;52;73;72;64;66;41;70;72;81;51;34;OB;CD
4627;E. Loeschbor;61;66;42;64;53;53;32;32;40;40;28;6;9;14;10;12;70;67;76;45;39;71;40;26;69;59;42;71;60;56;72;79;32;28;OB;CB
4628;Thiago Cionek;68;68;65;60;56;65;35;31;46;22;25;6;8;8;9;16;62;71;91;52;26;72;39;30;62;46;31;72;70;68;73;85;36;34;OB;CB
4629;A. Domínguez;28;23;36;42;17;50;13;19;19;18;11;70;70;68;70;68;11;16;34;14;13;12;18;15;75;16;25;19;31;29;20;69;53;17;OB;GK
4630;Ju Se Jong;61;69;76;75;65;60;68;72;63;51;73;10;13;8;7;8;43;67;61;75;73;55;62;52;67;77;74;47;70;81;65;69;78;50;OB;CD
4631;M. Rohdén;73;87;73;73;70;74;60;64;68;63;49;13;12;10;13;14;42;63;70;71;65;52;66;67;77;70;77;56;76;93;66;69;68;65;OB;CM
4632;K. Mbabu;90;65;52;70;66;67;67;55;62;26;38;8;7;7;14;14;63;61;78;64;26;72;35;60;64;63;41;64;91;82;67;79;58;28;OB;RB
4633;T. Kessler;45;39;45;40;21;51;14;15;14;13;14;72;69;67;70;71;15;25;63;33;14;13;16;15;68;23;21;15;49;38;14;69;22;11;OB;GK
4634;M. Beevers;52;71;46;33;60;61;31;21;36;36;57;16;10;13;9;14;75;73;70;51;27;65;45;26;62;54;53;68;51;76;71;83;45;38;OB;CB
4635;R. Halliche;57;77;54;58;56;72;50;45;46;34;36;6;11;12;14;12;68;68;71;55;39;71;50;29;62;61;59;71;62;60;73;77;45;40;OB;CB
4636;I. Bebou;86;43;79;74;69;61;61;58;77;64;46;10;11;12;11;11;55;31;69;49;59;28;65;68;68;67;61;33;85;71;35;60;63;55;UT;ST
4637;C. Tainmont;61;64;68;62;72;64;75;73;69;63;68;10;7;7;8;9;40;39;58;68;71;45;54;72;67;71;76;44;70;76;52;70;69;71;ZA;LM
4638;Z. Gano;62;58;50;32;69;67;56;46;64;70;48;12;13;8;11;9;77;28;67;37;65;18;59;69;68;64;72;16;69;68;29;89;56;67;UT;ST
4639;T. Mings;73;73;64;54;65;59;70;45;69;35;37;7;10;13;7;15;63;70;64;59;30;68;32;57;67;65;41;70;75;77;71;80;54;30;OB;CB
4640;Rúben Fernandes;61;67;62;60;62;71;51;48;47;39;31;16;7;16;14;8;72;73;79;59;51;72;58;40;69;64;65;69;65;67;68;75;52;51;OB;CB
4641;G. Carey;88;68;81;64;67;68;68;71;70;66;73;15;14;15;6;12;58;66;65;72;74;53;65;65;64;67;77;51;75;85;57;70;71;64;OB;CM
4642;M. Turner;32;83;25;25;49;69;47;44;22;30;30;11;15;13;8;11;77;67;78;49;21;72;31;22;62;47;58;67;34;30;71;83;53;31;OB;CB
4643;E. López;78;32;87;92;73;64;60;69;78;65;67;14;12;7;12;12;41;17;67;65;68;25;61;63;53;66;69;26;77;61;32;45;71;53;ZA;LM
4644;E. Perozca;76;49;78;67;73;63;75;73;66;41;57;10;7;7;11;14;63;77;58;71;37;62;59;50;77;70;43;71;69;68;60;64;56;48;OB;LB
4645;J. Rivas;33;75;30;39;51;58;51;38;41;40;50;7;16;7;12;10;75;67;73;54;49;70;53;45;61;63;66;72;52;61;71;84;36;42;OB;LB
4646;João Amaral;81;43;81;80;73;63;72;68;74;70;65;14;9;6;6;12;52;24;50;48;66;21;68;60;72;60;72;38;83;75;30;48;71;56;ZA;LM
4647;A. Rosi;79;72;70;60;68;74;73;65;68;48;54;6;12;8;14;7;60;65;68;66;65;62;50;62;70;66;72;70;76;79;68;75;55;42;OB;RB
4648;H. Ghaly;70;82;67;69;74;67;64;67;73;61;59;7;16;13;14;10;70;53;68;69;68;54;65;63;72;74;73;57;72;73;69;77;71;60;OB;CD
4649;R. López;75;51;68;56;68;61;79;75;72;54;76;10;12;9;6;10;66;64;59;70;74;64;68;68;62;72;74;71;79;79;66;70;64;60;OB;RB
4650;Edsinho Torres;62;75;63;72;75;62;73;44;48;48;63;10;10;12;11;11;70;57;62;60;59;74;70;55;65;62;62;77;76;79;68;65;48;43;OB;LB
4651;Z. Sadaev;78;87;75;66;74;65;39;42;73;72;42;6;6;12;15;11;55;44;81;60;65;23;60;70;66;75;75;23;70;60;24;73;54;46;UT;ST
4652;F. Padrenda;71;82;72;65;75;67;75;74;74;57;70;13;10;8;12;13;68;64;62;64;73;57;62;69;77;72;71;69;77;74;68;75;65;66;OB;LB
4653;A. Hack;68;67;48;50;65;66;55;39;59;27;31;6;6;5;7;8;73;69;67;75;29;67;45;32;66;74;44;68;76;64;72;78;53;26;OB;CB
4654;G. Bergessio;67;85;69;68;66;73;58;59;65;72;56;6;8;9;8;6;69;25;78;50;59;26;68;72;74;65;74;30;64;55;29;80;65;63;UT;ST
4655;Marcelo Sarvas;72;83;77;74;68;69;53;64;74;53;55;11;6;8;9;15;60;68;67;73;64;70;58;61;66;71;76;68;69;79;71;69;60;59;OB;CD
4656;W. Trapp;51;69;56;66;70;71;47;59;64;43;56;8;11;9;6;10;49;65;62;75;54;61;53;55;72;79;67;67;43;78;68;56;62;53;OB;CM
4657;J. Jernal;85;64;76;69;66;63;65;58;72;50;47;14;12;7;9;12;56;73;80;42;51;57;55;62;73;61;73;71;86;79;66;67;63;60;OB;CM
4658;J. Toivio;53;71;53;59;61;64;55;76;48;46;79;10;14;6;8;13;71;67;90;60;57;69;59;36;66;58;86;67;65;72;70;79;42;35;OB;CB
4659;S. Romagnoli;55;65;56;33;51;68;20;28;45;21;27;13;8;6;13;15;74;69;65;49;34;73;38;13;61;49;43;70;55;69;75;89;24;17;OB;CB
4660;M. Doherty;72;73;68;66;70;64;67;61;71;54;45;15;8;12;11;9;61;66;80;67;61;66;48;66;62;69;71;71;79;84;70;76;63;45;OB;LB
4661;J. Stephens;57;63;60;58;66;65;47;55;60;36;58;13;10;11;13;10;68;72;67;53;42;71;42;47;65;66;49;69;64;66;74;74;44;34;OB;CB
4662;João Teixeira;74;42;76;74;74;68;60;60;73;60;56;14;16;14;15;16;46;28;54;61;64;33;56;65;68;72;58;31;68;62;34;66;72;44;OB;CM
4663;E. Herrera;39;72;47;32;67;67;51;60;60;73;51;10;6;12;15;11;75;43;70;51;62;26;71;70;69;72;76;24;61;72;34;90;66;65;UT;ST
4664;M. Hector;65;84;57;46;54;61;35;32;53;40;30;13;12;11;12;13;74;66;67;58;44;66;51;49;64;59;68;66;71;69;74;83;52;31;OB;CD
4665;A. Abdi;67;74;66;70;75;76;69;68;72;61;73;9;6;8;11;8;59;48;60;72;73;52;66;69;73;76;72;57;61;64;60;57;73;64;OB;CM
4666;D. Lemos;64;84;64;60;62;67;56;60;60;37;53;8;16;12;15;8;72;73;74;66;36;70;51;50;74;64;46;74;69;84;72;73;56;31;OB;CM
4667;M. Silva;46;78;60;44;54;47;32;49;48;22;46;6;12;7;6;14;75;68;82;53;35;70;49;30;57;58;61;65;52;63;72;85;43;34;OB;CB
4668;Nenê Bonilha;78;48;75;73;74;70;63;68;76;59;61;9;8;15;8;6;57;54;49;74;62;52;58;56;75;72;65;49;68;68;60;57;74;61;OB;CD
4669;V. Lazaro;88;70;81;74;75;72;69;75;77;67;64;8;13;11;8;8;48;56;56;64;73;55;67;55;57;67;72;50;90;62;57;71;66;66;ZA;LM
4670;M. Terrazzino;76;58;81;80;72;59;69;70;74;62;64;10;14;8;12;14;51;43;60;62;66;22;59;67;67;72;66;28;74;65;32;59;68;70;UT;CF
4671;D. Diamantakos;74;68;74;72;68;64;63;56;70;71;54;10;11;10;14;9;69;19;80;49;69;11;65;68;67;62;77;29;77;74;26;72;55;68;ZA;LM
4672;Álex Moreno;74;49;77;74;71;59;71;69;74;59;57;15;7;12;11;9;66;62;63;61;60;68;70;67;68;69;58;65;75;88;69;43;66;65;ZA;LM
4673;I. Sarr;60;56;48;65;71;69;65;62;67;55;62;8;15;12;14;7;83;72;70;77;55;69;42;56;61;71;51;67;61;80;73;67;60;49;OB;CM
4674;A. Hakimi;76;57;75;74;70;62;71;46;70;57;55;10;8;14;6;8;58;68;64;65;60;63;46;58;63;68;71;71;78;80;68;71;61;37;OB;LB
4675;P. Iemmello;83;30;73;73;72;66;56;64;67;75;58;12;10;6;12;11;65;20;66;50;56;18;66;76;64;62;65;14;84;78;15;69;57;64;UT;ST
4676;M. Cerato;91;51;90;75;71;57;65;54;73;62;62;7;8;12;12;14;53;27;53;46;56;15;60;73;54;67;60;20;91;78;17;48;64;52;UT;ST
4677;W. Montoya;82;53;76;80;69;60;66;65;78;54;52;9;10;12;15;13;46;28;61;65;77;41;51;68;66;64;62;38;79;72;40;56;74;48;ZA;RM
4678;M. Hostados;51;40;68;60;75;78;74;78;67;64;72;12;10;13;7;9;30;45;50;75;76;21;75;66;71;74;79;30;53;72;35;76;75;70;OB;CM
4679;A. Meijers;74;72;69;71;74;75;69;72;72;42;67;7;15;7;10;15;55;68;70;62;62;66;56;66;71;70;67;67;75;80;70;66;69;60;OB;CM
4680;Juninho;71;64;75;83;71;73;70;70;69;57;71;15;15;13;7;15;51;69;69;69;78;62;68;66;66;77;81;65;68;76;66;60;64;57;OB;CD
4681;D. Bentley;46;24;51;41;23;55;18;12;17;11;12;73;68;64;72;74;11;22;78;23;13;13;22;12;57;33;38;13;43;31;11;70;47;13;OB;GK
4682;V. Prodell;71;45;60;55;66;68;40;45;59;76;45;7;6;14;6;15;70;23;72;38;54;19;62;79;68;52;68;29;71;63;24;79;57;64;UT;ST
4683;B. Drągowski;46;19;33;54;18;22;19;12;20;12;20;68;68;70;71;74;13;21;57;32;18;18;21;15;72;35;18;16;42;34;16;56;62;12;OB;GK
4684;Jeong Seung Hyun;39;70;36;40;37;45;32;52;32;19;47;15;13;14;7;15;75;71;75;44;17;71;35;28;63;54;36;72;46;64;72;84;48;24;OB;CB
4685;S. Vegas;70;75;54;51;65;69;50;51;60;20;23;9;8;15;9;9;66;70;87;65;56;69;36;52;63;65;65;68;78;72;67;77;31;24;OB;LB
4686;C. Wondolowski;55;65;65;62;72;70;53;65;68;73;61;8;16;10;13;8;71;46;72;46;66;46;72;78;71;67;76;44;51;78;48;65;57;75;UT;RW
4687;A. Cissokho;76;77;60;68;66;64;64;70;61;56;36;15;12;11;12;7;67;66;73;65;55;75;48;56;57;63;76;77;74;77;77;74;56;54;OB;LB
4688;Kim Jin Hyeon;62;14;66;43;24;12;20;11;14;13;13;71;70;67;71;70;19;15;68;22;15;11;15;16;69;12;18;12;56;43;13;65;53;13;OB;GK
4689;Héctor;79;76;82;83;72;64;73;57;72;42;59;13;9;15;8;9;60;68;70;56;41;66;35;57;65;66;57;72;79;71;70;64;47;44;ZA;LM
4690;I. Cissokho;71;70;65;78;71;68;75;68;69;39;66;12;11;11;7;12;57;70;75;69;67;66;57;71;71;65;76;70;70;77;69;68;56;50;OB;LB
4691;Adryan;77;39;81;75;75;68;62;73;76;62;71;5;5;5;5;5;44;38;61;68;63;18;67;66;67;69;62;24;76;64;32;57;74;60;OB;CA
4692;Cho Hyun Woo;51;19;21;50;18;17;11;19;12;18;15;72;73;59;71;68;16;17;54;23;14;16;19;12;66;28;19;16;50;29;18;60;65;18;OB;GK
4693;P. Stenzel;63;73;67;66;73;63;66;58;68;42;35;13;11;10;11;8;54;71;64;63;49;69;49;58;70;75;57;71;65;75;73;59;60;39;OB;RB
4694;Wang Dalei;63;37;52;53;22;42;10;23;24;16;18;70;69;76;70;74;6;14;64;28;12;10;22;14;66;22;23;12;56;18;12;31;65;4;OB;GK
4695;R. Wallace;76;76;83;90;70;72;76;75;68;60;78;15;7;11;10;9;36;52;59;72;73;41;61;66;69;67;74;45;75;76;46;31;68;54;ZA;RM
4696;P. Alvarado;50;67;66;58;61;39;56;27;56;31;34;14;6;14;7;11;72;69;82;55;34;72;40;43;67;56;45;72;65;70;73;74;34;28;OB;CB
4697;E. Fejzullahu;73;69;75;75;68;60;60;69;67;72;64;9;8;10;7;15;76;33;63;55;64;25;66;67;64;64;69;43;72;68;32;78;67;60;UT;CF
4698;P. Velázquez;65;72;67;42;70;71;32;55;67;71;54;8;9;14;12;6;75;25;65;49;65;26;70;71;70;56;76;24;64;71;21;85;61;61;UT;ST
4699;Paulinho;51;60;59;55;67;65;38;59;63;74;30;11;14;8;15;11;74;21;67;36;66;21;58;74;68;56;76;29;64;66;26;72;52;70;UT;ST
4700;P. Freitas Conceição;68;69;67;65;68;70;53;45;63;49;48;14;16;9;8;7;53;76;78;75;68;68;60;40;68;67;60;75;64;74;72;68;43;50;OB;CM
4701;D. Warmerdam;72;70;73;77;71;71;73;67;74;54;53;5;15;12;14;11;66;70;85;69;72;64;48;65;69;70;78;66;71;79;66;72;67;55;OB;CM
4702;B. Saré;71;90;64;64;64;74;47;34;62;62;35;11;15;8;10;11;66;74;81;58;58;72;33;54;73;65;72;71;73;81;73;75;59;48;OB;CD
4703;F. Mancinelli;54;75;52;71;65;66;61;39;55;33;29;13;10;11;15;10;68;66;62;43;50;81;55;55;76;62;56;61;43;78;69;75;31;34;OB;RB
4704;F. Bećiraj;70;74;77;61;66;70;53;49;70;68;32;10;14;15;15;13;68;27;66;46;69;20;71;70;65;55;79;22;83;67;23;82;68;69;UT;ST
4705;Campillo;61;59;58;70;74;68;61;81;69;73;71;7;6;14;8;11;49;68;54;69;71;55;68;64;65;75;80;46;67;79;59;60;69;51;UT;ST
4706;T. Jodłowiec;56;83;33;41;65;68;61;56;64;34;43;6;8;8;13;13;71;72;70;66;63;64;55;56;62;67;71;65;53;76;72;90;68;48;OB;CD
4707;J. Canderio;62;60;72;78;73;76;58;62;64;70;41;12;12;16;7;8;54;65;44;65;68;57;55;74;75;68;58;46;71;52;52;54;71;59;OB;CA
4708;A. Hloušek;69;78;65;63;67;65;68;65;66;54;60;9;13;13;8;10;66;66;66;66;57;67;61;65;68;69;68;69;75;92;70;72;64;58;OB;LB
4709;H. Arıkan;46;40;44;54;23;39;12;13;13;14;13;74;63;62;73;76;12;22;65;23;14;14;12;17;66;24;13;12;42;30;11;72;34;18;OB;GK
4710;B. Acosta;62;82;55;60;60;66;29;39;45;35;34;12;6;7;12;14;69;66;77;60;53;68;37;34;62;56;64;67;54;72;71;89;32;48;OB;CB
4711;A. Milić;40;72;42;44;61;62;65;68;46;34;71;11;8;8;11;10;77;68;70;67;42;69;43;45;70;65;57;67;51;68;72;77;54;37;OB;LB
4712;Tramontinaldo;63;54;77;79;72;64;73;61;61;45;62;14;8;7;8;7;69;54;55;71;51;72;63;51;71;74;53;75;71;63;77;54;61;55;ZA;RM
4713;Felipe Silva;67;46;79;72;74;57;60;57;75;61;45;16;9;13;8;13;51;34;43;62;60;13;54;72;74;67;62;20;69;76;18;58;72;59;OB;CA
4714;G. Terziev;72;73;57;64;44;61;54;32;29;22;33;6;6;10;6;15;76;72;71;39;22;75;44;29;65;52;38;73;73;68;72;69;29;33;OB;RB
4715;A. Godoy;50;82;67;66;68;76;42;48;68;58;38;8;15;14;9;6;51;64;64;77;47;62;36;41;69;79;73;61;47;78;66;73;66;31;OB;CM
4716;Yun Il Lok;81;58;88;74;71;55;68;64;71;64;56;6;11;6;8;12;54;60;65;64;66;35;51;74;66;69;67;23;80;81;44;72;59;63;ZA;LM
4717;E. Ruud;68;75;74;64;67;68;73;80;61;45;76;12;13;12;10;15;66;71;80;68;65;68;62;58;75;70;85;67;66;78;68;78;67;58;OB;RB
4718;B. Johnson;55;90;59;73;70;72;68;58;66;70;67;11;6;7;15;11;76;73;81;68;77;61;72;71;68;67;90;67;61;79;70;80;66;68;ZA;LM
4719;M. Eikrem;52;35;88;68;71;78;79;78;69;67;72;12;9;10;8;15;44;44;29;79;70;43;61;66;65;76;68;61;65;67;48;37;79;75;OB;CM
4720;I. Abaev;46;36;41;31;22;57;17;13;11;12;12;70;68;69;71;72;20;23;68;39;18;15;18;18;66;32;16;12;35;33;20;80;45;11;OB;GK
4721;Javi Ontiveros;74;35;76;89;74;66;69;70;75;68;61;6;8;6;11;12;32;23;41;67;71;24;68;62;63;76;72;23;71;56;25;33;64;37;ZA;LM
4722;Juan Carlos;52;26;68;42;12;46;22;25;14;13;14;76;65;59;64;78;14;26;82;29;13;14;25;13;71;28;24;14;54;43;13;63;43;15;OB;GK
4723;E. Adu;61;33;90;83;79;78;56;67;66;31;55;15;9;6;9;13;35;71;57;74;49;63;56;53;77;73;47;55;35;67;72;56;73;31;OB;CD
4724;M. Hartmann;73;75;72;66;71;67;68;58;71;73;47;15;14;15;16;15;69;27;81;49;68;18;84;73;72;69;75;21;74;80;22;73;60;70;UT;LW
4725;L. Antei;55;76;47;41;55;62;25;46;40;16;26;14;11;10;11;11;70;72;68;55;36;74;47;23;70;52;39;73;55;66;75;69;30;20;OB;CB
4726;R. Verenas;66;60;67;57;75;71;57;67;74;71;68;8;8;10;12;12;66;37;64;58;70;30;70;65;73;64;73;36;62;65;33;79;66;75;UT;ST
4727;B. Linssen;81;75;75;85;72;69;59;73;74;74;70;7;16;6;11;11;64;37;84;55;74;31;55;66;70;62;78;32;80;78;34;60;68;69;UT;RW
4728;N. Foor;83;57;91;80;71;68;67;75;72;70;57;14;12;15;6;8;40;49;70;60;72;39;52;64;63;70;72;43;76;78;51;34;68;64;UT;LW
4729;J. Dezi;75;66;64;71;74;73;54;53;70;62;55;10;13;7;14;7;52;58;73;69;60;53;52;68;64;72;59;60;74;92;65;57;71;50;OB;CM
4730;D. Beasley;79;65;78;75;67;73;63;67;66;61;62;12;6;8;6;11;54;65;72;59;56;67;59;68;74;67;66;68;79;86;68;50;62;62;OB;LB
4731;Choi Chul Soon;77;73;69;78;64;57;70;43;64;43;54;13;14;11;15;16;61;69;91;60;44;73;52;73;73;65;46;69;68;74;71;72;67;53;OB;CB
4732;V. Verre;72;59;73;75;73;69;57;57;70;51;58;5;13;9;8;11;53;58;49;68;68;40;55;65;76;75;73;55;69;74;61;67;68;58;OB;CM
4733;Danilo;75;72;81;83;70;64;68;60;70;49;49;10;11;15;10;12;55;68;76;62;65;69;42;59;70;67;64;71;75;76;70;64;53;53;OB;CB
4734;L. Coulibaly;76;64;78;77;74;65;52;54;70;58;42;9;12;14;8;6;64;68;67;69;57;59;49;58;64;75;63;64;77;74;74;69;69;44;OB;CM
4735;C. Nkunku;75;57;73;79;74;61;60;72;74;56;65;5;6;10;15;7;47;64;59;69;64;58;54;68;67;74;65;66;75;68;69;53;70;49;UT;LW
4736;D. Kulakov;74;58;67;70;67;61;70;68;70;55;60;14;8;12;8;14;69;60;80;74;45;67;59;72;69;76;54;68;79;82;65;68;72;50;OB;RB
4737;R. Herrera;68;78;45;51;43;59;36;40;47;35;37;9;8;5;8;11;69;70;60;50;39;63;59;32;63;59;43;72;72;58;74;91;39;37;OB;CB
4738;M. Etame;77;73;73;60;68;67;68;54;72;69;49;8;15;13;7;9;76;57;82;58;68;37;65;72;70;68;73;28;78;79;31;78;68;76;UT;ST
4739;C. Salcido;47;81;56;69;65;73;70;54;62;45;62;15;15;7;10;7;67;67;74;68;69;69;62;60;69;70;72;67;42;66;70;78;61;50;OB;CD
4740;Dorca;53;77;62;58;70;80;67;46;58;56;41;6;6;9;12;11;56;74;69;67;65;64;51;51;67;70;71;59;33;72;71;78;66;34;OB;CA
4741;Jubal;55;67;51;39;48;52;29;36;38;22;27;12;12;11;9;8;72;71;73;35;25;73;48;30;73;64;42;68;67;59;74;74;32;30;OB;CB
4742;Defendi;46;72;53;47;64;66;32;28;38;26;36;10;6;6;13;13;77;67;56;51;32;77;33;32;61;59;35;66;39;51;71;81;45;24;OB;CB
4743;M. Roberts;52;65;41;51;66;44;23;24;33;21;29;7;12;16;16;14;73;73;85;51;20;68;34;25;66;50;33;66;62;62;69;81;32;23;OB;CB
4744;L. Nielsen;62;82;61;56;58;64;54;49;45;25;41;11;6;14;12;14;67;66;80;64;31;68;38;38;68;62;61;68;76;63;74;77;56;58;OB;CB
4745;D. Batth;35;69;43;45;46;52;24;25;31;20;16;11;11;8;10;9;74;67;75;49;18;73;27;35;58;50;32;70;34;72;72;90;39;18;OB;CB
4746;H. Van Der Bruggen;57;68;69;67;72;73;67;65;64;54;63;13;14;14;16;8;58;70;66;70;67;59;58;69;69;72;73;63;53;83;65;60;71;62;OB;CD
4747;Luismi;60;81;57;66;61;61;33;26;46;21;30;6;11;12;11;13;54;75;73;61;34;72;38;25;65;65;55;73;58;72;76;81;63;30;OB;CB
4748;Vítor Bruno;83;72;80;82;66;64;72;67;64;61;62;7;7;9;13;14;52;69;77;66;63;67;66;58;70;63;63;72;77;79;69;55;60;60;ZA;LM
4749;K. Hansen;71;64;75;71;67;64;65;58;49;38;43;16;8;16;7;13;72;68;82;70;43;69;33;52;66;71;55;74;72;76;71;74;63;36;OB;CB
4750;Tony Muttinho;67;65;71;57;67;63;67;53;61;45;45;8;8;7;12;8;66;66;51;71;46;71;61;59;67;72;48;72;73;73;73;77;51;51;ZA;RM
4751;H. Lindner;39;32;43;38;19;35;11;17;11;12;17;74;65;64;67;74;13;12;62;15;16;10;19;8;69;24;21;19;41;30;9;49;33;13;OB;GK
4752;Zhang Linpeng;73;73;63;71;65;72;69;63;68;62;55;8;8;9;14;10;75;69;77;68;73;65;60;66;70;69;77;70;73;76;71;85;67;59;OB;CB
4753;T. Eisfeld;73;45;76;77;73;62;63;69;69;62;65;9;7;6;16;13;40;32;63;72;57;22;55;65;64;75;65;25;67;70;30;59;73;52;ZA;LM
